1,10.7
1,10.9
1,10.5
100,12.7
100,18.5
100,9.8
500,16.5
500,10.6
500,14.2
1000,19.1
1000,25.9
1000,20.8
1500,29.8
1500,38.6
1500,33.5
2000,40.2
2000,52.6
2000,48.1
3000,68.7
3000,66.7
3000,65.9
4000,74.2
4000,78.2
4000,81.2
5000,84.5
5000,84.3
5000,86.6
6000,86.6
6000,84.4
6000,86.9
7000,88.8
7000,87.6
7000,87.6
8000,90.6
8000,89
8000,88.3
9000,88.7
9000,88.2
9000,91.4
10000,90.4
10000,90
10000,89.8
20000,91.8
20000,92.6
20000,92.7
30000,92.4
30000,92.3
30000,94
40000,94
40000,92.9
40000,92.9
50000,93.2
50000,92.9
50000,93.3
60000,94.2
60000,94.9
60000,94.5
