1,11.3
1,10.2
1,10.4
100,11.6
100,11.0
100,9.7
500,23.8
500,19.0
500,14.9
1000,17.8
1000,26.8
1000,23.0
1500,35.2
1500,26.2
1500,44.4
2000,43.5
2000,51.8
2000,55.9
3000,72.5
3000,66.3
3000,69.1
4000,79.9
4000,78.7
4000,77.1
5000,82.9
5000,86.6
5000,84.1
6000,86.3
6000,87.5
6000,87.4
7000,87.6
7000,88.6
7000,88.1
8000,89.8
8000,90.0
8000,89.9
9000,88.9
9000,91.0
9000,90.6
10000,92.0
10000,90.0
10000,89.4
20000,93.0
20000,92.2
20000,92.3
30000,92.4
30000,92.5
30000,92.5
40000,92.1
40000,93.0
40000,94.3
50000,92.5
50000,93.6
50000,93.3
60000,93.6
60000,94.0
60000,93.9
