1,10.8
1,11.2
1,8.9
100,10.2
100,9.1
100,10.2
500,11.0
500,12.3
500,10.9
1000,26.2
1000,27.5
1000,24.7
1500,35.5
1500,38.7
1500,45.7
2000,49.5
2000,47.2
2000,51.3
3000,66.7
3000,68.2
3000,70.4
4000,78.3
4000,73.4
4000,80.2
5000,84.9
5000,83.2
5000,84.3
6000,88.4
6000,87.6
6000,88.5
7000,90.0
7000,86.4
7000,88.8
8000,89.3
8000,88.5
8000,90.1
9000,89.5
9000,89.6
9000,90.1
10000,89.7
10000,89.7
10000,89.3
20000,93.0
20000,91.8
20000,91.5
30000,92.8
30000,93.4
30000,92.2
40000,93.9
40000,93.6
40000,94.2
50000,93.3
50000,94.5
50000,94.5
60000,95.2
60000,94.3
60000,94.2
