1,8.6
1,10.5
1,10.2
100,17.4
100,10.4
100,9.4
500,19.5
500,12.5
500,10.7
1000,27.9
1000,42.9
1000,30.8
1500,41.4
1500,40.1
1500,40.6
2000,55.8
2000,51.9
2000,53.4
3000,77
3000,73.6
3000,74
4000,82.4
4000,83.3
4000,79.5
5000,89.1
5000,86.6
5000,85.8
6000,87.6
6000,89
6000,87.7
7000,88.9
7000,90.3
7000,87.1
8000,89.4
8000,87.8
8000,89
9000,91.4
9000,89.9
9000,88.7
10000,90.2
10000,89
10000,90.9
20000,91.7
20000,91.3
20000,93.2
30000,94.9
30000,92.8
30000,92
40000,92.6
40000,94.4
40000,93.4
50000,94.5
50000,93.7
50000,93.9
60000,94.8
60000,94.2
60000,95
