1,11.3
1,11.2
1,8.3
100,13.7
100,11.2
100,10.2
500,12.4
500,13.5
500,12.1
1000,24.9
1000,23.0
1000,23.2
1500,31.0
1500,36.8
1500,36.9
2000,53.9
2000,57.6
2000,51.6
3000,72.8
3000,71.7
3000,74.1
4000,78.3
4000,79.6
4000,82.1
5000,86.1
5000,88.0
5000,86.0
6000,87.4
6000,88.6
6000,87.5
7000,89.8
7000,87.5
7000,90.0
8000,89.7
8000,88.7
8000,90.5
9000,90.0
9000,90.6
9000,90.2
10000,91.3
10000,90.2
10000,90.1
20000,91.5
20000,91.9
20000,92.8
30000,93.0
30000,94.7
30000,92.7
40000,92.6
40000,93.3
40000,94.8
50000,93.9
50000,95.3
50000,92.2
60000,93.2
60000,94.8
60000,93.9
