1,9.2
1,10.4
1,9.1
100,10.1
100,10.1
100,9.8
500,9.4
500,10.1
500,10.5
1000,30.8
1000,26.0
1000,24.9
1500,34.7
1500,40.3
1500,41.6
2000,39.9
2000,47.2
2000,46.1
3000,69.3
3000,71.1
3000,64.6
4000,77.1
4000,83.6
4000,81.7
5000,84.0
5000,83.3
5000,87.6
6000,87.4
6000,88.7
6000,88.2
7000,88.3
7000,88.6
7000,88.7
8000,90.6
8000,90.8
8000,89.1
9000,89.3
9000,89.6
9000,88.7
10000,90.3
10000,89.1
10000,90.8
20000,92.5
20000,93.3
20000,92.5
30000,92.5
30000,93.1
30000,90.9
40000,95.0
40000,93.1
40000,96.3
50000,94.5
50000,94.2
50000,92.8
60000,94.9
60000,95.2
60000,94.2
