1,12.3
1,10.5
1,7.9
100,11
100,18.4
100,9.4
500,10.5
500,10.2
500,19.9
1000,26.8
1000,29.6
1000,28.9
1500,29.3
1500,36.1
1500,32.8
2000,44.8
2000,47.1
2000,49
3000,64.4
3000,70.5
3000,69.8
4000,75
4000,75.4
4000,81.7
5000,86.8
5000,84.5
5000,87
6000,86.9
6000,87.7
6000,87.9
7000,87.5
7000,89.7
7000,90.8
8000,90.1
8000,89.6
8000,90
9000,90.6
9000,90.6
9000,91
10000,90.9
10000,87.1
10000,89.3
20000,90.8
20000,92.3
20000,91.6
30000,94.1
30000,93.9
30000,92.2
40000,94.1
40000,94.3
40000,91.9
50000,94.4
50000,94.2
50000,94.2
60000,94.5
60000,94.3
60000,94.2
